id,name,address,station,size,lat,lon,screen_type,ownership,sound,url
1578,フクラスビジョンセット,東京都渋谷区道玄坂1-2-3,渋谷,"H3,520 × W6,400(mm)",35.657965,139.700307,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001578.html
1557,東京メトロ メトロ改札口ビジョン東京駅（丸ノ内線 中央改札）,東京都千代田区丸の内1-6-5,東京,,35.68202,139.764845,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001557.html
1558,東京メトロ メトロ改札口ビジョン池袋駅（丸ノ内線 中央通路中央改札）,東京都豊島区南池袋1-28-1,池袋,,35.730133,139.711629,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001558.html
1559,東京メトロ メトロ改札口ビジョン新宿三丁目駅（丸ノ内線 伊勢丹方面改札）,東京都新宿区新宿3-3−2,新宿三丁目,,35.691012,139.704566,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001559.html
1560,東京メトロ メトロ改札口ビジョン大手町駅（東西線 中央改札）,東京都千代田区大手町2-1-1,大手町,,35.684624,139.766363,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001560.html
1561,東京メトロ メトロ改札口ビジョン大手町駅（東西線 西改札）,東京都千代田区大手町2-1-1,大手町,,35.684657,139.766202,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001561.html
1562,東京メトロ メトロ改札口ビジョン大手町駅（千代田線 大手門方面改札）,東京都千代田区大手町2-1-1,大手町,,35.685265,139.76315,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001562.html
1555,OMOTESANDO WALL BOARD,東京都港区北青山3-6-12,表参道,"H2,500 × W4,500(mm)",35.665063,139.712115,屋外,LIVE BOARD 直営,サイレント,https://liveboard.co.jp/screen/001555.html
1549,KEIO MIRARERU VISION 秋葉原ワイドウォール135°,東京都千代田区外神田1-13-1,秋葉原,"H3,800 × W11,800(mm)",35.698735,139.771517,交通,パートナー,音あり,https://liveboard.co.jp/screen/001549.html
1546,CITY BOARD 三軒茶屋駅前,東京都世田谷区太子堂2-15-4,三軒茶屋,"H3,000 × W5,500(mm)",35.643788,139.671097,屋外,LIVE BOARD 直営,サイレント,https://liveboard.co.jp/screen/001546.html
1530,AKIHABARA UDX BOARD,千代田区外神田4-14-1,秋葉原,"H6,720 × W11,520(mm)",35.699793,139.772653,屋外,LIVE BOARD 直営,音あり,https://liveboard.co.jp/screen/001530.html
1521,六区セントラルスクエアビジョン,東京都台東区浅草2-5-5,浅草,"H3,840 × W2,560(mm)",35.713627,139.79336,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001521.html
1518,KEIO MIRARERU VISION 渋谷メガウォール,東京都渋谷区宇田川町26-2,渋谷,"H13,000 × W6,000(mm)",35.659832,139.699078,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001518.html
1514,新宿サザンテラスビジョン,東京都新宿区西新宿1-1,新宿,"H3,600 × W16,000(mm)",35.688695,139.699921,交通,パートナー,音あり,https://liveboard.co.jp/screen/001514.html
1488,立川曙ビルビジョン,東京都立川市曙町2-12-1,立川,"H2,880 × W4,800(mm)",35.699153,139.414275,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001488.html
1434,東銀座スクエアビジョン,東京都中央区築地1-13-1,東銀座,"H4,725 × W9,600(mm)",35.668262,139.76909,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001434.html
1421,吉祥寺フコク生命ビジョン,東京都武蔵野市吉祥寺南町2丁目3-15,吉祥寺,"H3,500 × W6,500(mm)",35.702733,139.580819,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001421.html
1415,シブハチヒットビジョン,渋谷区道玄坂2-3-2,渋谷,H17400 × W24400(mm),35.65918,139.700043,交通,パートナー,音あり,https://liveboard.co.jp/screen/001415.html
1413,GINZA GATE BOARD,東京都港区新橋2-18-9,新橋,"H5,760 x W10,240(mm) ",35.667159,139.758689,屋外,LIVE BOARD 直営,音あり,https://liveboard.co.jp/screen/001413.html
1394,西武 池袋駅スマイル・ステーションビジョン（1階B-1エリア）,西武 池袋駅構内,西武 池袋駅,86(inch)、70(inch),35.729802,139.711898,交通,パートナー,音あり,https://liveboard.co.jp/screen/001394.html
1371,京王 新宿K-DGピリエ,新宿区新宿3-38,新宿駅,70インチ、55インチ,35.690384,139.699123,交通,パートナー,音あり,https://liveboard.co.jp/screen/001371.html
1345,Marunouchi Vision,千代田区丸の内2-4-1,東京駅,32～246インチ,35.681038,139.7638,交通,パートナー,音あり,https://liveboard.co.jp/screen/001345.html
1346,Marunouchi Link SignageⅠ,千代田区丸の内2-4-1,東京駅,85、65、55、50インチ,35.681038,139.7638,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001346.html
1347,Marunouchi Link SignageⅡ,千代田区丸の内1,東京駅,65インチ,35.68176,139.764646,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001347.html
1317,東京メトロ MCV日本橋駅,中央区日本橋2-2,日本橋駅,,35.681609,139.773104,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001317.html
1318,東京メトロ MCV飯田橋駅,千代田区飯田橋3-6-9,飯田橋駅,,35.701881,139.745683,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001318.html
1319,東京メトロ MCV高田馬場駅,新宿区高田馬場2-18,高田馬場駅,,35.713454,139.704795,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001319.html
1320,東京メトロ MCV上野駅（銀座線）,台東区上野7-1-1,上野駅,,35.711965,139.776531,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001320.html
1321,東京メトロ MCV大手町駅（丸ノ内線）,千代田区大手町1-6-1,大手町駅,,35.686267,139.766162,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001321.html
1322,東京メトロ MCV大手町駅（半蔵門線）,千代田区大手町1-6-1,大手町駅,,35.686869,139.764024,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001322.html
1323,東京メトロ MCV大手町駅（千代田線）,千代田区大手町1-6-1,大手町駅,,35.685197,139.762856,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001323.html
1305,都営新橋駅デジタルサイネージ16面セット,港区新橋2-21-1,新橋駅,70(inch),35.665575,139.759507,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001305.html
1287,Airport Dynamic Ad Vision HANEDA,大田区羽田空港3丁目4,羽田空港,,35.55114,139.788837,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001287.html
1116,羽田サイネージラック,大田区羽田空港3丁目3,羽田空港,55インチ×横3面マルチ,35.549553,139.785437,交通,パートナー,サイレント,https://liveboard.co.jp/screen/001116.html
931,国際展示場駅サイネージ,江東区有明3-7,国際展示場,"H1,058 x W1,878(mm)",35.63445561,139.7916231,交通,パートナー,サイレント,https://liveboard.co.jp/screen/000931.html
929,汐留ホームビジョン,港区東新橋1-7,汐留,65(inch),35.66293881,139.7599696,交通,パートナー,サイレント,https://liveboard.co.jp/screen/000929.html
928,六本木ホームビジョン,港区六本木7-14-4,六本木,65(inch),35.66397396,139.7312634,交通,パートナー,サイレント,https://liveboard.co.jp/screen/000928.html
806,SHINJUKU SOUTHEAST BOARD,新宿区新宿3-35-7,新宿,"H5,700 x W3,780(mm)",35.6898738,139.7022762,屋外,LIVE BOARD 直営,音あり,https://liveboard.co.jp/screen/000806.html
808,新橋龍角散ビジョン,港区新橋1-12-9,新橋,"H3,840 x W6,720(mm)",35.6676492,139.7588484,交通,パートナー,サイレント,https://liveboard.co.jp/screen/000808.html
