member_id,lat,lon,stay_datetime,stay_duration_min
M00239,35.691941,139.697177,2024-03-03 11:37:00,34.4
M00102,35.691854,139.696976,2024-03-04 16:01:00,70.6
M00065,35.693843,139.702493,2024-03-02 20:54:00,384.9
M00298,35.691819,139.698045,2024-03-06 09:01:00,28.0
M00094,35.688502,139.702467,2024-03-02 12:01:00,79.9
M00064,35.687152,139.706601,2024-03-03 23:12:00,469.6
M00127,35.694614,139.695037,2024-03-03 22:26:00,432.4
M00263,35.687223,139.706573,2024-03-06 20:31:00,517.6
M00248,35.690479,139.70135,2024-03-05 09:27:00,10.3
M00251,35.689389,139.697271,2024-03-05 21:12:00,386.5
M00197,35.687958,139.700585,2024-03-07 09:48:00,33.0
M00106,35.691195,139.700189,2024-03-05 15:03:00,34.6
M00168,35.686868,139.704003,2024-03-01 10:49:00,12.7
M00207,35.690843,139.693716,2024-03-07 22:17:00,360.9
M00194,35.686117,139.700985,2024-03-06 10:20:00,19.4
M00029,35.68789,139.702149,2024-03-04 22:32:00,400.4
M00099,35.687913,139.702109,2024-03-03 22:54:00,406.3
M00109,35.685329,139.706249,2024-03-03 10:23:00,17.1
M00030,35.693848,139.702494,2024-03-07 22:41:00,397.9
M00286,35.690191,139.703431,2024-03-07 13:22:00,62.8
M00270,35.687854,139.700533,2024-03-06 10:51:00,33.3
M00160,35.687745,139.703267,2024-03-07 12:37:00,18.1
M00001,35.693022,139.701826,2024-03-04 12:05:00,30.1
M00226,35.689956,139.703428,2024-03-03 11:57:00,69.0
M00269,35.69293,139.700772,2024-03-02 20:25:00,466.3
M00277,35.686118,139.701,2024-03-03 13:08:00,33.9
M00224,35.693846,139.70247,2024-03-02 23:50:00,368.6
M00038,35.695134,139.700696,2024-03-05 21:23:00,416.3
M00071,35.68938,139.700917,2024-03-02 10:39:00,34.2
M00227,35.68755,139.701437,2024-03-02 09:47:00,27.4
M00031,35.688626,139.70523,2024-03-02 09:09:00,17.3
M00092,35.688413,139.702295,2024-03-03 10:43:00,12.9
M00048,35.688365,139.702235,2024-03-05 11:03:00,77.1
M00292,35.694642,139.695122,2024-03-02 21:48:00,446.0
M00249,35.687185,139.706607,2024-03-03 21:46:00,509.5
M00034,35.692931,139.700785,2024-03-01 21:59:00,525.5
M00295,35.694515,139.695022,2024-03-02 20:41:00,444.4
M00126,35.688323,139.702377,2024-03-02 09:43:00,16.7
M00093,35.687837,139.702227,2024-03-03 23:33:00,491.3
M00286,35.691933,139.697075,2024-03-07 15:12:00,48.8
M00035,35.687564,139.701419,2024-03-05 09:59:00,12.3
M00069,35.686768,139.697631,2024-03-03 23:02:00,437.1
